# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
Smoke Free,,"A government site with resources about quitting smoking and staying quit. There is support tailored for veterans, women, teens, and those 60+.","health, substance use, veteran",,thriv.life/SF,https://smokefree.gov/
Smoke Free Español,,"Spanish version of Smoke Free, a government site with resources about quitting smoking and staying quit.","health, substance use",Español,thriv.life/SFEsp,https://espanol.smokefree.gov/
Sober Black Girls Club,,"Free, weekly meetings for BIPOC in recovery (groups for Black women, BIPOC queer people, and BIPOC women). Also have a private FB group, mentorship program, and a medical fund to help support people paying for rehabilitation treatment.","Black, Indigenous, Latinx, LGBTQ, mental health, support, aid, substance use",,thriv.life/SBGC,https://soberblackgirlsclub.com/sbgcmeetings/
Sober Faction,,A peer support group that offers a Satanic approach to recovery from addiction and is free from religious dogma or superstition.,"mental health, substance use",,thriv.life/SoberFac,https://thesatanictemple.com/pages/sober-faction
Sober Recovery,,A directory of treatment facilities for people wanting to become sober. Also offers an addiction library and recovery blog.,"health, substance use, providers",,thriv.life/SoberRec,https://www.soberrecovery.com/
SPART*A,,SPART*A is a group of transgender people who currently serve or have served in the military.,"LGBTQ, gender identity, veteran",,thriv.life/SPARTA,https://spartapride.org/
Spectrum,,"A community based in Waterloo, Canada with various support groups that meet both in-person and online. Their website has a number of resources for LGBTQ+ people.","LGBTQ, gender identity, support",Canada,thriv.life/Spectrum,https://www.ourspectrum.com/spectrum-groups/
St. Louis Queer+ Support Helpline (SQSH),"<a href=""tel:+1-844-785-7774"">1.844.785.7774</a>","Free, confidential, and identity-affirming emotional support and resource referrals (warmline / helpline, not crisis line, but non-carceral / abolitionist in nature); targeted towards multiply marginalized queer people living in St. Louis, but will accept calls from anywhere in the US. Helpline hours are Friday to Monday, 2-8p ET / 11a - 5p PT","LGBTQ, gender identity, PoC, hotline, non-carceral",,thriv.life/SQSH,https://www.thesqsh.org/
Stairway to STEM,,Resources for autistic students transitioning from high school to college and enrolled in STEM courses.,"STEMM, education, disability, career",,thriv.life/Stair2STEM,https://www.stairwaytostem.org/
Stand Alone,,"An organization that offers innovative advice and support services for all people experiencing estrangement by providing resources, therapeutic workshops, and connections with people for ongoing emotional support ",mental health,UK,thriv.life/StandAlone,https://www.standalone.org.uk/
Stand with Trans,,"Support groups for parents of transgender children and trans youth aged 9-22. Also maintains a phone-based support network of Ally Parents that trans*/non-binary/gender-queer or questioning people, as well as parents, can contact for support and affirmation.","LGBTQ, gender identity, support, parent",,thriv.life/StandWithTrans,https://standwithtrans.org/ally-parents/
STEM Graduates,,A recruitment agency and job board for students and graduates in STEM fields in the UK.,"STEMM, career",UK,thriv.life/STEM-Grads,https://www.stemgraduates.co.uk/
Still Bisexual,,"An organization and social media campaign that aims to foster public acceptance and awareness of bisexuals though facts about bisexuality and short videos about peoples' experiences. They are focused on bisexual education and health advocacy for people who identify as bisexual, pansexual, fluid, queer, or are otherwise attracted to multiple genders.","LGBTQ, education",,thriv.life/StillBi,https://stillbi.org/
Still Coviding,,"A social connection group for people who are still Covid-cautious and want to connect online with others who feel similarly. This document explains how to connect, with meetings every Saturday with a daytime and an evening option (for EST timezone). Camera is required to be on at least during beginning for security, but it is possible to ask for a waiver if that is not accessible for you. This is a pro-science, anti-all hate group, and is inclusive and affirming for members of marginalized groups, including LGBTQIA2S+.","COVID-19, mental health, support",,thriv.life/StillC19,https://docs.google.com/document/d/1AGtLQLiabDSQZBAoi_D4Wx2vUhb4h7GTCX54dKBw7XQ/edit
Stimpunks,,"Mutual aid for disabled and neurodivergent people ($500 grants, awardees chosen each month).","disability, neurodivergence, aid",,thrive.life/StimPunks,https://stimpunks.org/request-aid/
Stimulation Substitutes,,A list of fiddles/sensory substitutes for body-focused repetitive behaviors.,"mental health, coping",,thriv.life/StimSub,https://www.bfrb.org/blog/1-blog/679-the-great-big-list-of-favorite-fiddles
Stoic App,,"A free app (Android and iOS) that acts as a self-care journal. It has check-ins and different activities like meditation, visualization, breathing exercises and journal prompts.","mental health, app",,thriv.life/Stoic,https://www.stoicroutine.com/
STOP Technique for Overwhelming Thoughts,,Guidance for reducing overwhelm using the mindfulness-based STOP technique.,mental health,,thriv.life/StopTech,https://thewellnesssociety.org/wp-content/uploads/2019/02/STOP-Technique-PDF-1.pdf
Straight for Equality: be not afraid,,A pdf about how to be supportive to those in the GLBT community within faith communities.,"LGBTQ, religion",,thriv.life/Straight4Eq,https://straightforequality.org/resource/be-not-afraid/
Strands for Trans,,A directory of trans-friendly barbershops and hair salons where people can get haircuts safely.,"LGBTQ, gender identity",,thriv.life/Strands4T,https://www.strandsfortrans.com/
Stress Relief in Times of Crisis,,A PDF with a whole collection of different ways to cope with stress.,"general, mental health, support",,thriv.life/SRGDoc,https://drive.google.com/file/d/1IpKxwehHUfHhUPSCslpLEbzG2U8-qQIz/view
Stonewall UK,,UK-based charity that campaigns for the equality of LGBTQ+ people across Britain and abroad.,LGBTQ,UK,thriv.life/StonewallUK,https://www.stonewall.org.uk/
Stronger Together Discord,,"Free community-run discord server for anyone 18+ that is lightly moderated by Stronger U and THRIVE. Aimed towards people navigating marginalization. A collection of trauma, harm, and suicide survivors who did not have the community support they needed in vulnerable periods of their lives. PluralKit is available for those who use it.","general, support, non-carceral",,,https://discord.gg/hc9zxacM8G
StrongHearts Native Helpline,"<a href=""tel:+1-844-762-8483"">1.844.7NATIVE (762-8483)</a>","A 24/7 anonymous and confidential helpline for American Indians and Alaska Natives focusing on safe, domestic, dating and sexual violence.","hotline, Indigenous, abuse, non-carceral",,thriv.life/StrongHearts,https://www.strongheartshelpline.org/
Struggle Care Website,,"KC Davis is a therapist and the founder of “Struggle Care” a book and philosophy to help anyone struggling to keep up with care tasks (care tasks are things like brushing your teeth, doing your dishes, showering, cleaning your house, etc.). Website offers a variety of free and paid resources with a neurodivergent lens that can someone better take care of their basic needs.","neurodivergence, health, mental health",,,https://www.strugglecare.com/resources
Student Doctor Network,,"A forum-based website for people in the process of applying to a number of doctoral programs, including medical, dental, optometry, and psychiatry programs. There are school-specific threads, as well as ones for the overall process and admitted/current students.","STEMM, education, career",,thriv.life/SDN,https://forums.studentdoctor.net/forums/
Students with Psychosis,,"Students With Psychosis empowers student leaders globally through community building and collaboration. Our goal is to expand mental health/brain health advocacy at the college level to ensure psychosis representation, including a global perspective.","mental health, education, psychosis",,thriv.life/SWP,https://sws.ngo/
Subdial,,A free app (Android and iOS) that provides users with zip code-based alternatives to calling the police.,"general, hotline, app, non-carceral",,thriv.life/Subdial,https://subdial.app/
Suicide Safety Plan App,,An app (Android and iOS) for creating a safety plan. The app allows you to share the safety plan with others via text.,"app, mental health",,,https://suicidesafetyplan.app/
Summer Research & Prof Development for UndocuSTEM,,A list of opportunities available to undocumented students.,"STEMM, education",,thriv.life/UndocuSTEM,http://www.matthewrcover.com/undocumented-in-stem.html
Survillence Self Defense,,"Guides by the Electronic Frontier Foundation with information on internet security (e.g., for LGBTQ+ youth and reproductive healthcare seekers) and how to protect yourself from online spying and surveillance.","general, protest, online safety",,thriv.life/SSD,https://ssd.eff.org/
Surviving Dissociative Identity Disorder,,A private facebook support group for people of all ages who struggle with DID.,"mental health, support",,thriv.life/SurvDID,https://www.facebook.com/groups/690847047597182/
Susan's Place,,A big trans forum and discord channel with lots of topics.,"LGBTQ, gender identity, support",,thriv.life/Susan,http://www.susans.org/
Switchboard,"<a href=""tel:+44-0300-330-0630"">44.0300.330.0630</a>","Helpline run by LGBTQ+ people in the UK to discuss anything, including sexuality, gender identity, sexual health and emotional wellbeing. Hours: Su-Sa 10:00-22:00 BT.","LGBTQ, hotline",UK,thriv.life/Switchboard,https://switchboard.lgbt/
SWOP Behind Bars,"<a href=""tel:+1-877-776-2004"">1.877.776.2004</a>","A national grassroots social justice network dedicated to the fundamental human rights of sex workers, victims of trafficking, and their communities with a focus on those currently incarcerated or seeking re-entry. They have a 24/7 community support line available to anyone in North America via calling, and a live chat service on their website available from 10a-10p ET. They support people with a wide variety of issues from crisis support around an assault or an arrest, to sex positive resources for medical and mental health, to housing and transportation requests. They also provide various other support for incarcerated sex workers (e.g., scholarships, reentry support, mail programs, and wishlists).","general, hotline",,thriv.life/SWOP,https://www.swopbehindbars.org/programs-and-services
Sylvia Rivera Law Project,,"Legal-aid organization serving low-income or people of color that are transgender, intersex, or gender non-conforming.","LGBTQ, legal",,thriv.life/SRLP,https://srlp.org/
Taimi,,"App for chatting and connecting with other trans people. For finding friends, partners, and support.","LGBTQ, gender identity, app",,thriv.life/Taimi,https://taimi.com/transgender-chat
Tangerine,,"A self-care app (Android and iOS) for habits, mood tracking, and journaling. The base app is free, but offers a premium subscription with additional features.","mental health, app",,thriv.life/Tangerine,https://tangerine.app/
Tarakai,,An organization that supports mental health in Punjabi communities and includes resources in Punjabi.,"mental health, education",UK,thriv.life/Tarakai,https://www.taraki.co.uk/
Teen Lifeline,"<a href=""tel:+1602-248-8336"">1.602.248.TEEN (8336)</a>",Teen Lifeline's hotline has been a connection of hope for teens in crisis.,"under 18, hotline",,thriv.life/TeenLL,http://www.teenlifeline.org/
Teen Link,"<a href=""tel:+1866-833-6546"">1.866.833.6546</a>","A confidential and anonymous help line for teens. They offer text and call support through the same number, and their website has a chat feature. Hours: call and text 7 days a week 6-10 pm ET","under 18, hotline",,thriv.life/TeenLink,https://www.crisisconnections.org/teen-link/
Tefillat Trans,,"A resource from the Trans Halakha Project with blessings and rituals for transgender and non-binary people, created by and for trans Jews.","LGBTQ, gender identity, religion",,thriv.life/TefillatTrans,https://svara.org/tefillat-trans/
#Tender Fruits Collective,,"A new grassroots group running peer support groups and a Discord server for the Queer and Trans, Neurodivergent, Mad, Sick and Disabled, and Survivors.","LGBTQ, gender identity, disability, neurodivergence, support",,thriv.life/TFC,https://tenderfruitscollective.com/services/
"#TGNC Medical Relief Fund had 4 clicks, but the site no longer exists. Removed 01/07/2022",,,,,,
#TGNC Medical Relief Fund,,A crowdfunded organization providing cash relief to trans and gender nonconforming individuals for help with medical costs.,"LGBTQ, gender identity",,thriv.life/TGNC-MedRelief,https://www.tgncmedfund.org/
The Big Peer Virtual Calendar,,"This is a resource from CallBubbie that lists free, online peer support groups across multiple nonclinical organizations and how to access them.","mental health, support, coping",,,https://callbubbie.org/big-peer-calendar/
The Coping Skills Toolbox,,"a long and comprehensive toolbox workbook made for children/parents but many are applicable to adults that can used to create a toolbox of coping skills, resources and books to reference, affirmations, etc","mental health, coping, education, providers",,,https://www.bcbe.org/cms/lib/AL01901374/Centricity/Domain/1760/Coping%20Skills%20Toolkit.pdf
The DID Den,,"A private facebook group for Alters/Parts within a system aged 11-25, but open for any body age. They provide a space for fun activities, positivity, and supporting each other.","under 18, mental health, support",,thriv.life/DIDDen-FB,https://www.facebook.com/groups/1589552751293505/
The Dinner Party,,"A community of 20-, 30- and early 40-somethings who have each experienced the loss of someone they were close to, regardless of when the loss occurred, to have virtual or in-person meals together and converse.","grief, support",,thriv.life/DinnerParty,https://www.thedinnerparty.org/
#The GALAP,,A list of providers that write pro bono letters of support for transgender and non-binary people seeking gender-affirming medical interventions.,"LGBTQ, gender identity, health, providers",,thriv.life/GALAP,https://thegalap.org/
The Gender Book,,A colorful 101 book about gender diversity.,"LGBTQ, gender identity, education",,thriv.life/GenderBook,https://thegenderbook.com/
The Gender Unicorn,,"The gender unicorn is a graphic that visually distinguishes the following terms: gender identity, gender expression, sex assigned at birth, physical attraction, and emotional attraction.","LGBTQ, gender identity, education",,thriv.life/GenderUnicorn,https://www.transstudent.org/gender
The Hopeful,,"A free, daily self-care app (Android and iOS).","app, coping, mental health",,thriv.life/Hopeful,https://twloha.com/thehopeful/
The Indigenous World,,An annual review about the rights and advancement of Indigenous peoples throughout the world.,"Indigenous, legal",,thriv.life/IndigWorld,https://www.iwgia.org/en/resources/indigenous-world.html
The LGBT National Help Center,"<a href=""tel:+1888-843-4564"">1.888.843.4564</a>","The LGBT National Help Center provides telephone, online chat, and email peer-support. Currently available Mon-Fri 1p-9p PT, Sat 9a-2p PT. They speak with callers of all ages about bullying, workplace issues, HIV/AIDS anxiety, coming out, relationships, safer sex, and more.","LGBTQ, hotline, non-carceral",,thriv.life/LGBT-Help,http://glbtnationalhelpcenter.org
The Mental Health Coalition Resource Library,,"resource library for mental health resources and help for anxiety, stress, depression, grief, therapy, parents as well BIPOC, LGBTQ+, etc","mental health, support, education, BIPOC, LGBTQ",,,https://www.thementalhealthcoalition.org/resources/
The Mighty,,"A digital community for people to discuss health challenges, including chronic illnesses and disabilities.","disability, health, mental health, support",,thriv.life/TheMighty,https://themighty.com/
The National Library of Medicine MedlinePlus,,"A part of the National Institute of Health (NIH), this site provides resources about health and medical subjects as well as providing ways to find services and facilities.",health,,thriv.life/NLMMedlinePlus,https://medlineplus.gov/
The Network/La Red,"<a href=""tel:+1800-832-1901"">1.800.832.1901</a>","A survivor-led, social justice organization that works to end partner abuse in lesbian, gay, bisexual, transgender, SM, polyamorous, and queer communities. They have a 24/7 hotline.","abuse, hotline",,thriv.life/TNLR,http://www.tnlr.org/en/
The Okra Project,,"A program that seeks to address the global crisis faced by Black Trans people by bringing home cooked, healthy, and culturally specific meals and resources to Black Trans People.","Black, LGBTQ, gender identity",,thriv.life/OkraProject,https://www.theokraproject.com/
The Orchard Discord,,"A large Discord server dedicated to trans, and particularly questioning, folks who need a space to ask and learn about gender. They have tenders who can be contacted for listening/feedback purposes when people need them (volunteers, not trained professionals). PluralKit available for anyone who uses it.","LGBTQ, support",,thriv.life/Orchard,https://discord.gg/theorchard
#The Nina Pop and Tony McDade Free Therapy Fund: CARE LANES,,An emergency mutal aid program by The Okra Project that gives Black Trans Community Members free access to appointments with qualified Black therapists.,"LGBTQ, gender identity, aid",,thriv.life/NPTM-TherapyFund,https://docs.google.com/forms/d/e/1FAIpQLSfbl70ubMkv36-2bRYoX5FGp6oJjYzdyOkRFXg7KQukX8ipAQ/viewform
The PhD Forum,,"A doctoral support group that has an online study room, similar to working virtually in a library.","STEMM, education",,thriv.life/PhD-Forum,https://www.thephdforum.com/
The Plural Association,,Peer-led community support groups for DID/OSDD/Plurality. Pricing tiers are clearly marked.,"mental health, support",,,https://www.thepluralassociation.community/
The Steve Fund,,An organization with scholarships and resources supporting the well-being of students of color.,"mental health, PoC, funding",,thriv.life/SteveFund,https://www.stevefund.org/
The U.S. Department of State travel advisory for LGBTI travelers,,General information and tips for LGBT people who are travelling outside of the United States.,"LGBTQ, legal",,thriv.life/LGBT-StateDept,https://travel.state.gov/content/travel/en/international-travel/before-you-go/travelers-with-special-considerations/lgbti.html
The Withdrawal Project,,An initiative supporting those opting to withdraw from psychiatric medications.,"harm reduction, mental health",,thriv.life/WDP,https://withdrawal.theinnercompass.org/
ThemsHealth,,"Instagram-centric resource of information on bodily health, mental health, sexuality, fitness, nutrition, identity, community, and social justice, by and for the community. The page offers suggestions, advice, methods, affirmations, ways of thinking, practices, and broadly information for nonbinary and trans folks to see themselves in. There are queer health / wellness professionals who volunteer their time to answer anonymous questions directly from the community, based on their experience as nurse practitioners, therapists, nutritionists, trainers, and more.","LGBTQ, gender identity, health",,thriv.life/ThemsHealth,https://themshealth.com/welcome
Therapist Aid Worksheets,,"Free therapy worksheets related to habit forming, CBT, self-esteem, anger, ADHD, managing emotions, and more.",mental health,,thriv.life/TherapistAid,https://www.therapistaid.com/therapy-worksheets
Therapy 4 the People Resource List,,Resource list for finding free and low-cost mental health support created by 3 PhD students in mental health fields.,mental health,,thriv.life/Therapy4Ppl-Res,https://www.healwise.org/
Therapy for Black Girls,,Directory of therapists and a podcast supporting the mental wellness of Black women and girls. Also offers a subscription-based online community.,"Black, mental health, providers",,thriv.life/Therapy4BlackGirls,https://therapyforblackgirls.com/
Therapy for Queer People of Color (QPOC),,Directory of therapists across the US with affirming care for Queer People of Color.,"Black, Indigenous, LGBTQ, mental health, PoC, providers",,thriv.life/Therapy4QPOC,https://therapyforqpoc.com/
Therapy Resources and Referral Sources,,"A living Google doc with resources for how to find therapists as a marginalized person, including directories for therapists that work within different communities.","general, mental health, support",,,http://bit.ly/getatherapist
Therapy for Therapists Collective - Peer Support Groups,,"the Therapy for Therapists Collective offers peer support groups for mental health care providers, you must join the collective to participate with various tiers you can choose from to gain access to the services they provide","mental health, support, providers",,,https://www.therapyfortherapistscollective.com/peer-support-groups
Therapy Tribe,,"Free online support community offers members a convenient and safe place to connect. Groups for: Addiction, Anxiety, Depression, HIV/AIDS,  LGBTQ+, Marriage/Family, OCD, and Teens.","mental health, support",,thriv.life/TherapyTribe,https://support.therapytribe.com/
Three for Freedom,,A resource with three steps for people who can become pregnant to take control of their reproductive future.,"general, gestation, health",,thriv.life/34F,https://www.threeforfreedom.com
THRIVE Lifeline Reading List,,Books about a range of topics. Includes children's titles.,"general, education",,thriv.life/THRIVE-Reading,https://thrivelifeline.org/reading-list.html
THRIVE Lifeline List of STEMM Organizations,,A collection of STEMM organizations and societies.,"STEMM, education, career",,thriv.life/THRIVE-STEMM,https://thrivelifeline.org/STEMM-orgs.html
THRIVE Lifeline PDF of non-carceral resources,,A collection of non-carceral support resources.,"general, mental health, support, non-carceral",,,https://drive.google.com/file/d/1C3RJpE2o2W5cKM78pdCigVXQEMGMC1hz/view
Thriving Campus,,A directory where students can looks for mental health services in their area.,"mental health, providers",,thriv.life/ThrivingCampus,https://www.thrivingcampus.com/
Tips for the Undiagnosed,,Information from the NIH about navigating an undiganosed medical condition. Provides connections to advocacy groups and funding.,"general, health",,thriv.life/UndiagnosedTips,https://rarediseases.info.nih.gov/guides/pages/24/tips-for-the-undiagnosed
Tor Project,,"An encrypted web browser to avoid tracking, surveillance, or censorship.","general, online safety",,thriv.life/Tor,https://www.torproject.org/
Top Surgery Guide,,Directory of surgeons and describes differences between surgical procedures for trans masculine folks.,"LGBTQ, gender identity, health, providers",,thriv.life/TopSurgery,https://www.topsurgery.net/
Top Surgery Guidebook,,"A pay-what-you-can (starting from $0) 40-page resource for queer/trans people of all genders looking for more info on top surgery (gender-affirming mastectomies, reductions, or augmentations). The guidebook centers Disabled, Fat, BIPOC, and neurodivergent bodyminds.","LGBTQ, gender identity, health",,thriv.life/TopSurgeryGuide,https://topsurgeryguidebook.com/
To Write Love on Her Arms (TWLOHA),,"A non-profit dedicated to presenting hope and finding help for people struggling with depression, addiction, self-injury, and suicide. Their site has a self-care check-in and resources for finding help.","mental health, support",,thriv.life/TWLOHA,https://twloha.com/
Trans Care Connect Warmline,"<a href=""tel:+1866-708-6446"">1.866.70.TOHIO (86446)</a> (call or text)","A free and confidential peer support phone and messaging service, created for the Ohio trans community.","LGBTQ, hotline, gender identity",,,https://www.transohio.org/emergency-resources
TRANS Discord,,A Discord server moderated by THRIVE volunteers and open to anyone who is trans / nonbinary and 13+. It's a space to connect and form a peer support community. PluralKit is available to those who use it.,"LGBTQ, gender identity, support",,thriv.life/TRANS_Discord,https://discord.gg/fNDunUWeyK
Trans & Gestating Support Group,,A free monthly support group welcome to trans people at all steps of family-building journey.,"LGBTQ, gender identity, health, sexual health",,thriv.life/TGSG,https://docs.google.com/forms/d/e/1FAIpQLSfL59sTb-YFvWPCdNcrGtNSPWf5qz_BVzUdP-olxLQOk8GoRQ/viewform
Trans-Cendence International,,"Offers separate virtual support meetings for trans/gender diverse people and parents and SOFFAs (significant others, friends, family, and allies) of trans and gender diverse people.","LGBTQ, gender identity, support, parent, education",,thriv.life/TCI,https://www.transcendint.org/
Trans Can Work,,"A non-profit helping trans job seekers with career support and training, and providing education to current workplaces.","LGBTQ, gender identity, career, education",,thriv.life/TCW,https://transcanwork.org/
Trans Community Center Discord,,"A very robust and active Discord serve. The community is highly participatory in text and voice chats, as well as regular stage events. There are youth-specific spaces as well as youth moderators and a ""juniors"" role. Multiple places to discuss identity and different types of transition, as well as a venting channel in the ""Serious Topics"" category (which is opt-in). PluralKit available for anyone who uses it.","LGBTQ, gender identity, support",,thriv.life/TransCC,https://discord.gg/transcc
Trans Families,,"A pay-what-you-can membership community who runs parent support groups (including a group for Spanish-speaking families), a trans youth leadership program, special topics groups, and youth support groups, with more programs in development. They maintain a safe and confidential space by having each person go through an intake and orientation process.","LGBTQ, gender identity, parent",,thriv.life/TransFam,https://transfamilies.org
#Trans Family Network,,A non-profit dedicated to connecting volunteers across the country with members of the trans community in need.,"LGBTQ, gender identity",,thriv.life/TFN,https://www.transfam.net/
Trans Formations Project,,A grassroots organization providing actionable information on harmful anti-trans legislation. Their website has a bill tracker.,"LGBTQ, gender identity, legal",,thriv.life/TransForm,https://www.transformationsproject.org/
Trans Harm Reduction,,"A volunteer-run, grassroots organization supporting trans people to manage the risks associated with self-medicating.","LGBTQ, gender identity, health, harm reduction","Ireland, Scotland",thriv.life/THR,https://transharmreduction.org/
Trans in the South,,"A directory of  trans-affirming mental health providers, primary care physicians, HIV care specialists, attorneys, endocrinologists, and more across 13 Southern states.","LGBTQ, gender identity, health, providers, legal, HIV",,,https://southernequality.org/resources/transinthesouth/
Trans Language Primer,,"A guide to the language of gender, sexuality, accessibility, and acceptance.","LGBTQ, gender identity",,thriv.life/TransLangPrimer,https://translanguageprimer.com/
Trans Lifeline,"<a href=""tel:+1877-565-8860"">1.877.565.8860</a>","A trans peer support hotline / crisisline available in the U.S. and Canada, for transgender people by transgender people and divested from police. Also offers support in Spanish. Currently available Monday - Friday from 1pm&ndash;9pm ET.","LGBTQ, hotline, gender identity, non-carceral",Español,thriv.life/TransLL,https://www.translifeline.org/
#Trans Lifeline Microgrants,,Microgrants intended to help fund legal name and gender marker changes.,"LGBTQ, gender identity, aid",,thriv.life/TransLL-Microgrants,https://www.translifeline.org/microgrants
Trans Masculine and LGBTQ+ Support Groups,,"A monthly support group for trans masculine folks that are 18+ and a monthly support group for 18+ LGBTQ+ folks who meet and discuss that month's topic. There are two times each month to accommodate different schedules. ASL interpreters will be present for the entire meeting, and rev.com's automatic closed captioning will also be turned on.","LGBTQ, gender identity",,thriv.life/TransMascSupport,http://pinkmantaray.com/support
Trans Masculine BMI Surgeon List,,A patient-sourced list of surgeons for trans masculine gender-affirming procedures that will operate on persons with higher BMIs.,"LGBTQ, gender identity, health",,thriv.life/TMBMIS,https://fedupcollective.org/gender-affirming-surgeon-guide
Trans Needles,,"A service providing free and sterile HRT needle supplies to trans folk in the US who cannot access or afford their own. Trans Needles prioritizes the needs of Black Trans people. They also provide harm reduction supplies, such as Narcan and menstrual products.","Black, LGBTQ, gender identity, health, harm reduction",,thriv.life/TransNeedles,https://transneedles.org/supplies
#Trans Rally,,"An organization for friends and members of the transgender community focused on connecting people to good jobs, networking, and socializing. They have a Discord server and a job search tool. Membership tiers are clearly marked.","LGBTQ, gender identity, career",,thriv.life/TransRally,https://transrally.org/
Trans Reading List,,A Google Sheet of different trans romance stories and books.,"LGBTQ, gender identity, coping",,thriv.life/TRL,https://docs.google.com/spreadsheets/u/0/d/1MCsUmr4aZgsAGN2pqUK8H3dz07N8O3J4332Sx-v8MOw/htmlview#gid
Trans Reads,,"A large collection of free books, chapters, texts, essays, or articles by, for, or about people who transverse or transcend western gender norms.","LGBTQ, gender identity, coping",,thriv.life/TransReads,https://transreads.org/
#Trans Safe Space,,"An info hub, safe haven, and support system for transgender people and their family, friends, and allies.","LGBTQ, gender identity",,thriv.life/TransSafeSpace,https://transsafespace.network/
Trans Safety Emergency Fund,,"An organization which accepts applications from the 1st at 7am (UTC+2) until the 3rd at 10pm (UTC+2) every month for non-cisgender people needing emergency support. They prioritize applications for emergency situations, such as Basic Living Costs, Monthly Bills, Crucial Medical Bills, and Safety.","LGBTQ, gender identity, funding",international,thriv.life/TransSafety,https://transsafety.fund/get-help/
Trans Speak,,"A large trans discord server with over 20,000 members and a robust team of moderators. Open to people 13+. There are channels to discuss identity, as well as for support and venting. PluralKit available for anyone who uses it.","LGBTQ, gender identity, support",,thriv.life/TransSpeak,https://discord.gg/transpeak
Trans Torah,,Liturgy and educational resources for supporting Jewish people of all genders.,"LGBTQ, religion",,thriv.life/TransTorah,http://www.transtorah.org/index.html
TransFamily Support Services,,TransFamily Support Services guides transgender/non-binary youth and their families through the gender transitioning process to help make it the most positive experience possible.,"LGBTQ, gender identity, under 18",,thriv.life/TransFamily,https://www.transfamilysos.org
Transgender Health Injection Guide,,A PDF booklet containing text and image-based descriptions of how to use injectable medication.,"LGBTQ, gender identity, health",,thriv.life/TransHealth-Inject,https://fenwayhealth.org/wp-content/uploads/TH-109_Update-Hormone-Injection-Guide_6_19_2020_FINAL_pages.pdf
Transgender Law Center,,Publications and resources offering information on the more common legal challenges and questions transgender people encounter.,"LGBTQ, gender identity, legal",,thriv.life/TransLawCenter,https://transgenderlawcenter.org/
Transgender Legal - Name Change Project,,"TLDEF's Name Change Project provides pro bono legal name change services to low-income transgender, gender non-conforming, and non-binary people through partnerships with some of the nation's most prestigious law firms and corporate law departments.","LGBTQ, gender identity, legal",,thriv.life/TransLegal-Name,https://transgenderlegal.org/our-work/name-change-project/
Transgender Map,,"Explanations of gender identity and gender expression, as well as the social, legal, and medical aspects of transition. This site covers regional resouces for the US and Canada.","LGBTQ, gender identity",Canada,thriv.life/TransMap,https://www.transgendermap.com/
Transgender Resource Center of New Mexico,,"Various trans femme, trans masc, nonbinary, and <25 support groups, hosted virtually","LGBTQ, gender identity, support",,thriv.life/TGRCNM,https://tgrcnm.org/groups
Transgender Teen Survival Guide,,A blog for people of all ages who have questions concerning their gender identity with information on transgender terminology and different avenues that people can pursue for transitioning.,"LGBTQ, gender identity, education",,thriv.life/TTSG,https://transgenderteensurvivalguide.com/
Transmission Ministry Collective,,"An online community of transgender and gender-expansive Christians committed to growing our faith, supporting each other, and healing the world.","LGBTQ, religion",,thriv.life/Transmission,https://www.transmissionministry.com/
Trans Youth Emergency Project,,The Trans Youth Emergency Project provides 1-on-1 custom patient navigation services to unimpacted providers and supports families of transgender youth with emergency grants to help them travel for care.,"LGBTQ, gender identity, parent, support, providers",,,https://southernequality.org/tyep/#how
Transitioning Further,,,"detransition, LGBTQ",,thriv.life/DT-TF,https://www.intomore.com/you/transitioning-further-gender-queered-experiences-with-testosterone-and-multiple-transitions/
Transparent USA,,"An organization that seeks to connect parents with safe spaces to talk openly, provide them with resources to help with their child's gender journey, and advocate for trans acceptance.","LGBTQ, gender identity, support, parent, education",,thriv.life/Transparent,https://transparentusa.org/
TransPonder,,"An organization with several, recurring virtual groups, including QTBIPOC, Trans & Disability, and TransParent Group.","LGBTQ, gender identity, support",,thriv.life/Tponder,https://transponder.community/meetingsevents/
Trevor - Guide to Being an Ally for T/Enby Youth,,A guide for supporting trans and non-binary youth.,"LGBTQ, education",,thriv.life/Trevor-TransAlly,https://www.thetrevorproject.org/resources/trevor-support-center/a-guide-to-being-an-ally-to-transgender-and-nonbinary-youth/
Trevor LGBTQ + Religion (Faith),,"Some commonly asked questions from queer believers about faith and LGBTQ+ identities, plus a few resource links.","LGBTQ, religion",,thriv.life/Trevor-Religion,https://www.thetrevorproject.org/trvr_support_center/lgbtq-religion/
Trevor Project,"<a href=""tel:+1866-488-7386"">1.866.488.7386</a> or text START to <a href=""sms:678678&body=START"">678-678</a>","A 24/7 non-judgmental hotline with LGBTQ-sensitive trained counselors you can contact through a call, text, or chat during a mental health crisis and/or suicidal thoughts. Available in the United States.","LGBTQ, hotline, under 18",,thriv.life/TrevorProject,https://www.thetrevorproject.org/
TrevorSpace,,"Connects LGBTQIA+ youth to peer support and community through online forums, hosted by the Trevor Project. Must be 13-24, must provide email address to join.","LGBTQ, hotline, under 18",,thriv.life/TrevorSpace,https://www.trevorspace.org
